"","Full.Name","College","Draft.Year","Position","Birth.Date","Height..Inches.","Weight","Breakout.Age","Breakout.Year","College.Dominator.Rating","College.YPR","Catch.Radius","Agility.Score","X20.Yard.Shuttle","Height.adjusted.Speed.Score","SPARQ.x","Broad.Jump","X3.Cone.Drill","X40.Yard.Dash","Burst.Score","Vertical.Jump","Hand.Size","Arm.Length","n_40","n_3c","n_20s","n_vj","n_he","n_al","n_bj","cr_score","bs_score","Had.Breakout","Draft.Date","Draft.Age","BMI","Late.Breakout.Date","Pick.Number","SOS.Rank","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","BestFinish","Success"
"1","a.j. green","Georgia",2011,"WR",1988-07-31,76,211,20.1,2008,42.2,14.9,113.341444419701,11.12,4.21,107.1,113.9,126,6.91,4.5,104.681960780352,34.5,9.25,34.38,0.670588235294117,0.554744525547445,0.65546218487395,0.432432432432432,0.733333333333333,0.767671232876713,0.638888888888889,2.50115545392313,1.07132132132132,"Y",2011-04-01,22.6821917808219,25.6809210526316,2011-10-08,4,36,17,3,4,24,8,33,10,300,300,300,300,300,300,300,3,1
"2","a.j. jenkins","Illinois",2012,"WR",1989-09-30,72,192,20.9,2010,55.2,14.2,116.197814882135,10.85,4.12,102,115.1,124,6.73,4.39,109.883504993993,38.5,9.5,32.75,0.8,0.686131386861313,0.73109243697479,0.648648648648649,0.466666666666667,0.589041095890411,0.583333333333333,2.63076469125724,1.23198198198198,"Y",2012-04-01,22.5178082191781,26.037037037037,2012-10-08,30,53,200,134,145,300,300,300,300,300,300,300,300,300,300,300,134,0
"3","aaron burbridge","Michigan State",2016,"WR",1993-12-23,72,206,21.7,2015,32.6,14.8,86.3383107043652,11.53,4.31,94,106.1,115,7.22,4.56,87.789095226705,30.5,8.25,31.625,0.6,0.328467153284672,0.571428571428572,0.216216216216216,0.466666666666667,0.465753424657534,0.333333333333333,1.27587476554469,0.549549549549549,"Y",2016-04-01,22.2876712328767,27.9355709876543,2016-10-08,213,30,153,300,300,300,300,300,300,300,300,300,300,300,300,300,153,NA
"4","aaron dobson","Marshall",2013,"WR",1991-07-23,75,210,18.1,2009,26.1,11.9,NA,11.52,4.33,113.1,111.1,121,7.19,4.42,101.060324855901,35,NA,NA,0.764705882352941,0.350364963503649,0.554621848739496,0.459459459459459,0.666666666666667,NA,0.5,NA,0.959459459459459,"Y",2013-04-01,21.7068493150685,26.2453333333333,2013-10-08,59,104,61,167,137,300,300,300,300,300,300,300,300,300,300,300,61,0
"5","aaron mellette","Elon College",2013,"WR",1989-12-28,74,217,20.7,2010,54.8,14.5,95.7140167668232,11.52,4.41,103.6,93,123,7.11,4.54,100.233911289248,33.5,9.58,33.18,0.623529411764706,0.408759124087591,0.487394957983193,0.378378378378378,0.6,0.636164383561644,0.555555555555556,1.70130211406455,0.933933933933934,"Y",2013-04-01,23.2739726027397,27.8581081081081,2013-10-08,238,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,0
"6","ace sanders","South Carolina",2013,"WR",1991-11-11,67,173,20.8,2012,24.1,11.8,83.722942345466,11.18,4.37,72.2,81.8,117,6.81,4.58,92.2128384364371,32,8.78,29.48,0.576470588235294,0.627737226277372,0.521008403361344,0.297297297297297,0.133333333333333,0.230684931506849,0.388888888888889,1.15720111911027,0.686186186186186,"Y",2013-04-01,21.4027397260274,27.0926709734908,2013-10-08,101,23,66,156,300,300,300,300,300,300,300,300,300,300,300,300,66,0
"7","adam humphries","Clemson",2015,"WR",1993-06-24,71,195,22.3041095890411,NA,9.4,6.8,NA,11.28,4.32,86.2,96.2,122,6.96,4.58,97.5845266196832,32.5,9.25,NA,0.576470588235294,0.518248175182482,0.563025210084033,0.324324324324324,0.4,NA,0.527777777777778,NA,0.852102102102102,"N",2015-04-01,21.7835616438356,27.1940091251736,2015-10-08,260,48,99,59,49,300,300,300,300,300,300,300,300,300,300,300,49,0
"8","adam jennings","Fresno State",2006,"WR",1982-11-17,69.13,181,23.9068493150685,NA,17.5,12.9,98.4072995833486,11,4.12,80.75864633,NA,118,6.88,4.46,102.73745827058,37.5,8.63,28.38,0.717647058823529,0.576642335766423,0.73109243697479,0.594594594594595,0.275333333333333,0.11013698630137,0.416666666666667,1.82351116795506,1.01126126126126,"N",2006-04-01,23.386301369863,26.6256847807102,2006-10-08,184,87,175,132,174,300,300,300,300,300,300,300,300,300,300,300,132,0
"9","adam thielen","Minnesota State",2013,"WR",1990-08-22,75,200,20,2010,45.9,15.9,NA,11.26,4.49,96.7,99.7,120,6.77,4.54,101.911044703927,36,NA,NA,0.623529411764706,0.656934306569343,0.420168067226891,0.513513513513513,0.666666666666667,NA,0.472222222222222,NA,0.985735735735736,"Y",2013-04-01,22.6246575342466,24.9955555555556,2013-10-08,260,260,300,127,128,29,8,300,300,300,300,300,300,300,300,300,8,1
"10","adrian coxson","Stony Brook",2015,"WR",1992-08-14,73,215,21.1,2013,45.2,15.4,91.2953082795883,11.43,4.4,103.9,100.6,111,7.03,4.51,86.8168439718188,32,9.75,31.75,0.658823529411765,0.467153284671533,0.495798319327731,0.297297297297297,0.533333333333333,0.479452054794521,0.222222222222222,1.50080100800559,0.519519519519519,"Y",2015-04-01,22.6438356164384,28.3627322199287,2015-10-08,260,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,0
